      2 bloom_refusal refusal  e.g. bloom_refusal reason=scene_handoff count=1 device=1 ordinary_signal=1
   3191 emission_source_gain_frame refused_other!=0  e.g. emission_source_gain_frame device=1 frame=1891 gain=2 admitted=0 admitted_screen=0 refused_blend=0 refused_screen=0 refused_other=1 refused_unknown=0 refused_state=1 bind_failures=0
   3191 emission_source_gain_frame refused_state!=0  e.g. emission_source_gain_frame device=1 frame=1891 gain=2 admitted=0 admitted_screen=0 refused_blend=0 refused_screen=0 refused_other=1 refused_unknown=0 refused_state=1 bind_failures=0
     16 emission_source_gain_refused_state refused_state  e.g. emission_source_gain_refused_state device=1 frame=1891 vs=d5e1c75351ed3f04 ps=8360f422de08b5bd hdr=0 scene=0 open=1 recording=0 primitives=360 msaa=0 blend=1 src=2 dst=4 op=1 sepalpha=0
   2833 fade_route_frame refused!=0  e.g. fade_route_frame device=1 frame=15081 fade_routed=0 fade_refused=0 fade_held=0 fade_route=500 cutout_caps=1 overlay_routed=0 overlay_refused=3
  33351 hull_emission_frame refused_blend!=0  e.g. hull_emission_frame device=1 frame=2303 gain=2 admitted=0 refused_blend=45 refused_variant=0 programs=000 refused_other=0 refused_routed=0 refused_unknown=0 refused_state=0 bind_failures=0 opaque=44 alpha=1 toggled=1
   3489 hull_emission_frame refused_other!=0  e.g. hull_emission_frame device=1 frame=4 gain=2 admitted=0 refused_blend=0 refused_variant=0 programs=000 refused_other=133 refused_routed=0 refused_unknown=0 refused_state=133 bind_failures=0 opaque=0 alpha=0 toggled=1
   3489 hull_emission_frame refused_state!=0  e.g. hull_emission_frame device=1 frame=4 gain=2 admitted=0 refused_blend=0 refused_variant=0 programs=000 refused_other=133 refused_routed=0 refused_unknown=0 refused_state=133 bind_failures=0 opaque=0 alpha=0 toggled=1
     16 hull_emission_refused refused  e.g. hull_emission_refused device=1 frame=2303 vs=4944d81dfe531b37 ps=64bac8bb307eb896 reason=blend blend=1 src=5 dst=6 op=1 sepalpha=0 srgb=0
     16 hull_emission_refused_state refused_state  e.g. hull_emission_refused_state device=1 frame=4 vs=37c34a7478544c14 ps=5f82ecacd39529cd hdr=0 scene=0 open=1 recording=0 primitives=1054 msaa=0 blend=0 src=5 dst=6 op=1
    108 loading_metric failures!=0  e.g. loading_metric op=CreateFileA qpc=19146760141003 count=39 failures=2 pending=0 ambiguous=0 bytes=0 inclusive_ticks=845896 exclusive_ticks=845896 max_ticks=82920 wrapper_tail_ticks=155 total_us=84589.600 exclusive_us=8458
      9 media_cue_window failures!=0  e.g. media_cue_window qpc=19146912433552 frame=299 frames=300 attempts=4 failures=1 successes=3 refused=0 unobserved=0 attempts_frame_p50=0 attempts_frame_max=3 ids=144:1,244:1,1:1,8404:1 id_overflow=0 cache_used=0 evictions=
      1 mesh_cache failure!=0  e.g. mesh_cache requested=0 enabled=0 activation=await_public_mesh_and_buffer_contract adjacency_metric_scope=hook_service restart_on_cleanup_failure=1
    123 screen_emission_additive_refused_window refused_window  e.g. screen_emission_additive_refused_window device=1 frame=299 frames=300 pair_draws=0 admitted=0 refused=0 apply_failures=0 not_reached=0 state=0 draw_shape=0 scene=0 no_fp16_target=0 no_variant=0 srgb_sampler=0 projected=0
  33198 shadow_replay_candidates refused2!=0  e.g. shadow_replay_candidates device=1 frame=2305 routed=104 zwrite=103 slice0=82 bounds=9 origin=4 fallback=73 managed=74 dynamic=0 default_pool=0 excluded=8 unknown=0 shadow_mismatch=0 leased=74 capped=0 reads=6 serial_chan
  33198 shadow_replay_candidates refused3!=0  e.g. shadow_replay_candidates device=1 frame=2305 routed=104 zwrite=103 slice0=82 bounds=9 origin=4 fallback=73 managed=74 dynamic=0 default_pool=0 excluded=8 unknown=0 shadow_mismatch=0 leased=74 capped=0 reads=6 serial_chan
  33200 shadow_replay_candidates refused4!=0  e.g. shadow_replay_candidates device=1 frame=2305 routed=104 zwrite=103 slice0=82 bounds=9 origin=4 fallback=73 managed=74 dynamic=0 default_pool=0 excluded=8 unknown=0 shadow_mismatch=0 leased=74 capped=0 reads=6 serial_chan
   1896 sun_shadow_lane_frame refused!=0  e.g. sun_shadow_lane_frame device=1 frame=15167 source=hook format=116 available=1 receiver_draws=80 covered_draws=0 untracked_writers=0 non_depth_writers=27 failed=0 owner=1 exclusion_required=0 exclusion_valid=0 shadows=1 c
   3761 taa_invalidate invalidate  e.g. taa_invalidate device=1 frame=0 site=not_resolved
      1 telemetry_span error!=0  e.g. telemetry_span name=backend_load qpc_begin=19146720739404 qpc_end=19146721010295 thread=216 success=1 error=203
  33351 volumetric_fog_frame refused  e.g. volumetric_fog_frame device=1 frame=2303 applied=0 reason=card_refused strength=0.0200 density_scale=1.000 cards=0 profile=0 field_generation=0 sun=none shadow_maps=0 cpu_us=0.0 calls=0 result=00000001 restore=00000001 s
-- fold rows (values stripped):
